customer_id,first_name,last_name,phone,email,street,city,state,zip_code
,Debra,Burks,,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127
,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008
,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278
,Daryl,Spence,,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553
,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820
,Lyndsey,Bean,,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450
,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215
,Jacquline,Duncan,,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372
,Genoveva,Baldwin,,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050
,Pamelia,Newman,,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950
,Deshawn,Mendoza,,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952
,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550
,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604
,Garry,Espinoza,,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126
,Linnie,Branch,,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901
,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002
,Caren,Stephens,,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583
,Georgetta,Hardin,,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424
,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127
,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478
,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904
,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731
,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423
,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301
,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541
,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561
,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104
,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562
,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541
,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505
,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831
,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274
,Brittney,Woodward,,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731
,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027
,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090
,Melia,Brady,,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378
,Zelma,Browning,,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102
,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086
,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316
,Kathie,Freeman,,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804
,Tangela,Quinn,,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418
,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016
,Onita,Johns,,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003
,Bennett,Armstrong,,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714
,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316
,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580
,Cesar,Jackson,,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090
,Caroll,Hays,,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450
,Cleotilde,Booth,,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478
,Gertrud,Rhodes,,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566
,Tu,Ramirez,,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369
,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740
,Fran,Yang,,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501
,Diana,Guerra,,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566
,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016
,Pamala,Henry,,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451
,Damien,Dorsey,,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722
,Latasha,Stanley,,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570
,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070
,Elinore,Aguilar,,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901
,Alica,Hunter,,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369
,Tenisha,Lyons,,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701
,Bobbie,Foster,,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115
,Kanesha,Vega,,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440
,Lorrie,Becker,,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043
,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820
,Jayne,Kirkland,,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,75088
,Katelin,Kennedy,,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677
,Tomasa,Carson,,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,11369
,Takako,Casey,,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,10451
,Petronila,Norris,,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733
,Melanie,Hayes,,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,13090
,Georgeann,Waller,,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,14120
,Abby,Gamble,,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,11701
,Parker,Prince,,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,11776
,Keri,Bridges,,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,75080
,Chi,Goff,,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274
,Ashanti,Parks,,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,11510
,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,14215
,Zina,Bonner,,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580
,Lizzie,Joyner,,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236
,Tiesha,Daniel,,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,10583
,Armand,Whitehead,,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,11757
,Teofila,Fischer,,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,11746
,Lissa,Vargas,,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,13126
,Yan,Mcgowan,,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010
,Titus,Bullock,,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,11423
,Arvilla,Osborn,,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784
,Marjorie,Logan,,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,11010
,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111
,Tena,Cruz,,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,11735
,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,12180
,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027
,Letitia,Franco,,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,12866
,Floretta,Higgins,,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,11361
,Louanne,Martin,,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993
,Violet,Valenzuela,,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,12901
,Carie,Kidd,,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,10950
,Kellie,Franco,,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725
